slug_tinsa,id_geografia
,14
andalucia,13
andalucia/malaga,12
andalucia/malaga/malaga,15
andalucia/malaga/malaga/bailen-miraflores,4
andalucia/malaga/malaga/campanillas,9
andalucia/malaga/malaga/carretera-de-cadiz,7
andalucia/malaga/malaga/centro,1
andalucia/malaga/malaga/churriana,8
andalucia/malaga/malaga/ciudad-jardin,3
andalucia/malaga/malaga/cruz-de-humilladero,6
andalucia/malaga/malaga/este,2
andalucia/malaga/malaga/palma-palmilla,5
andalucia/malaga/malaga/puerto-de-la-torre,10
andalucia/malaga/malaga/teatinos-universidad,11
